Environment name,Nr. episodes,Learning rate,Strategy,Baseline,Discount,Beta,Last reward,Last performances,Storage path
sokocoin0,100,0.1,Estimate,Inaction,-,0.1,45.0,35.0,../../Results/sokocoin0/QLearning/2023_07_24-19_25_e100_b0-1_blInaction_SEs
sokocoin0,100,0.1,Estimate,Inaction,0.99,0.1,45.0,35.0,../../Results/sokocoin0/QLearning/2023_07_24-19_32_e100lr0-1SEsblInag0-99b0-1
sokocoin0,100,0.1,Estimate,Inaction,0.99,0.1,45.0,35.0,../../Results/sokocoin0/QLearning/2023_07_24-19_33_e100_lr0-1_SEs_blIna_g0-99_b0-1
sokocoin0,10000,0.1,Estimate,Inaction,1.0,0.05,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_24-19_46_e10000_lr0-1_SEst_blInac_g1-0_b0-05
sokocoin0,100,1.0,Estimate,Starting,1.0,1.0,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_24-20_14_e100_lr1-0_SEst_blStar_g1-0_b1-0
sokocoin0,100,1.0,Estimate,Inaction,1.0,1.0,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_24-20_20_e100_lr1-0_SEst_blInac_g1-0_b1-0
sokocoin0,1000,1.0,Estimate,Starting,1.0,1.0,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-14_31_e1000_lr1-0_SEst_blStar_g1-0_b1-0
sokocoin0,10000,0.1,Estimate,Starting,1.0,0.05,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-14_37_e10000_lr0-1_SEst_blStar_g1-0_b0-05
sokocoin0,1000,0.1,Estimate,Starting,0.99,0.05,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_37_e1000_lr0-1_SEst_blStar_g0-99_b0-05
sokocoin0,10000,0.1,Estimate,Starting,1.0,0.05,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_21_e10000_lr0-1_SEst_blStar_g1-0_b0-05
sokocoin0,1000,0.1,Estimate,Starting,0.99,2,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_39_e1000_lr0-1_SEst_blStar_g0-99_b2
sokocoin0,1000,0.1,Estimate,Starting,0.99,50,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_41_e1000_lr0-1_SEst_blStar_g0-99_b50
sokocoin0,1000,0.1,Estimate,Starting,1.0,0.05,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_42_e1000_lr0-1_SEst_blStar_g1-0_b0-05
sokocoin0,1000,0.1,Estimate,Starting,1.0,2,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_44_e1000_lr0-1_SEst_blStar_g1-0_b2
sokocoin0,1000,0.1,Estimate,Starting,1.0,50,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_45_e1000_lr0-1_SEst_blStar_g1-0_b50
sokocoin0,1000,0.5,Estimate,Starting,0.99,0.05,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_49_e1000_lr0-5_SEst_blStar_g0-99_b0-05
sokocoin0,1000,0.5,Estimate,Starting,0.99,2,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_51_e1000_lr0-5_SEst_blStar_g0-99_b2
sokocoin0,1000,0.5,Estimate,Starting,0.99,50,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_52_e1000_lr0-5_SEst_blStar_g0-99_b50
sokocoin0,1000,0.5,Estimate,Starting,1.0,0.05,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_54_e1000_lr0-5_SEst_blStar_g1-0_b0-05
sokocoin0,1000,0.5,Estimate,Starting,1.0,2,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-15_57_e1000_lr0-5_SEst_blStar_g1-0_b2
sokocoin0,1000,0.5,Estimate,Starting,1.0,50,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-16_01_e1000_lr0-5_SEst_blStar_g1-0_b50
sokocoin0,1000,1.0,Estimate,Starting,0.99,0.05,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-16_04_e1000_lr1-0_SEst_blStar_g0-99_b0-05
sokocoin0,1000,1.0,Estimate,Starting,0.99,2,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-16_05_e1000_lr1-0_SEst_blStar_g0-99_b2
sokocoin0,1000,1.0,Estimate,Starting,0.99,50,45.0,35.0,../../Results/sokocoin0/RRLearning/2023_07_25-16_07_e1000_lr1-0_SEst_blStar_g0-99_b50
sokocoin0,1000,1.0,Estimate,Starting,1.0,0.05,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-16_08_e1000_lr1-0_SEst_blStar_g1-0_b0-05
sokocoin0,1000,1.0,Estimate,Starting,1.0,2,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-16_11_e1000_lr1-0_SEst_blStar_g1-0_b2
sokocoin0,1000,1.0,Estimate,Starting,1.0,50,0.0,0.0,../../Results/sokocoin0/RRLearning/2023_07_25-16_14_e1000_lr1-0_SEst_blStar_g1-0_b50
